,30 SEP '25,30 JUN '25,31 MAR '25,31 DEC '24,30 SEP '24,30 JUN '24,31 MAR '24,31 DEC '23,30 SEP '23,30 JUN '23,31 MAR '23,31 DEC '22,30 SEP '22,30 JUN '22,31 MAR '22,31 DEC '21,30 SEP '21,30 JUN '21,31 MAR '21,31 DEC '20,30 SEP '20,30 JUN '20,31 MAR '20,31 DEC '19,30 SEP '19,30 JUN '19,31 MAR '19,31 DEC '18,30 SEP '18,30 JUN '18,31 MAR '18,31 DEC '17,30 SEP '17,30 JUN '17,31 MAR '17,31 DEC '16,30 SEP '16,30 JUN '16,31 MAR '16,31 DEC '15,30 SEP '15,30 JUN '15,31 MAR '15,31 DEC '14,30 SEP '14,30 JUN '14,31 MAR '14,31 DEC '13,30 SEP '13,30 JUN '13,31 MAR '13,31 DEC '12,30 SEP '12,30 JUN '12,31 MAR '12,31 DEC '11,30 SEP '11,30 JUN '11,31 MAR '11,31 DEC '10,30 SEP '10,30 JUN '10,31 MAR '10,31 DEC '09,25 SEP '09,26 JUN '09,27 MAR '09,28 NOV '08,29 AUG '08,30 MAY '08,29 FEB '08,30 NOV '07,31 AUG '07,25 MAY '07,23 FEB '07,24 NOV '06,25 AUG '06,25 NOV '05
"Securities sold under agreements to repurchase, at fair value","217,8","230,2","249,0","274,4","261,6","238,1","267,5","249,9","225,7","223,0","197,4","110,3","159,7","172,9","164,6","165,9","167,3","151,7","130,6","126,6","101,3","88,3","95,9","117,8","109,4","70,9","70,6","78,7","85,9","93,2","94,7","84,7","86,4","83,6","88,5","71,8","73,9","77,5","77,6","86,1","89,5","87,6","85,8","88,2","96,7","107,0","138,7","164,8","157,8","159,0","155,4","171,8","166,2","160,4","173,1","164,5","143,5","155,5","165,5","162,3","150,4","149,9","153,5","128,4","127,0","133,0","133,4","62,9","110,2","115,7","161,5","159,2","160,3","144,4","192,7","147,5","128,1","149,0"
Securities loaned,"57,6","58,6","56,3","56,1","62,1","63,9","66,3","60,5","54,9","48,0","46,3","30,7","43,8","38,3","43,8","46,5","41,5","38,2","34,3","21,6","17,3","16,6","13,9","15,0","13,3","13,5","12,6","11,8","16,2","16,3","16,5","14,8","13,2","12,0","9,7","7,5","5,3","4,0","4,4","3,6","3,5","7,3","6,7","5,6","6,3","9,4","18,3","18,7","19,0","20,3","20,7","13,8","13,6","9,4","8,1","7,2","8,7","14,5","12,2","11,2","12,0","11,1","14,8","15,2","17,6","20,3","18,9","17,1","29,4","34,4","26,1","28,6","23,8","38,1","26,3","22,2","26,4","23,3"
Other secured financings,"24,8","21,9","24,8","28,2","23,5","23,1","15,1","13,2","14,7","13,4","18,5","13,9","15,6","17,2","18,5","18,5","19,7","27,6","27,7","25,8","25,0","25,9","37,2","19,3","17,1","18,1","19,7","21,4","26,5","26,4","26,8","24,8","22,7","22,4","22,4","21,5","22,5","25,5","26,2","24,8","25,2","24,0","24,1","22,8","25,9","25,2","25,0","24,8","27,1","27,3","29,5","32,0","29,4","28,8","33,1","37,4","42,0","34,5","36,9","38,4","26,6","25,8","24,0","24,1","28,0","30,3","39,8","38,7","52,8","53,1","70,1","65,7","74,8","64,2","47,9","50,4",,"23,6"
Customer and other payables,"256,8","259,3","253,8","223,3","250,4","243,0","256,7","230,7","252,3","257,8","266,3","262,0","278,5","280,0","293,0","251,9","252,1","238,7","224,3","190,7","187,4","199,2","213,2","174,8","188,2","185,3","181,0","180,2","190,0","192,6","191,0","178,2","203,0","199,6","196,3","188,5","204,5","217,9","210,9","210,4","222,8","206,1","223,3","213,6","219,3","211,5","228,4","204,8","201,9","209,3","203,5","194,5","205,5","221,7","210,3","198,3","219,3","209,8","193,4","190,5","189,9","190,3","185,7","185,6","187,2","196,4","220,0","253,8","358,2","346,4","349,2","318,5","276,4","225,4","221,7","213,2","220,5","188,3"
"Brokers, dealers and clearing organizations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,7","9,6","11,7",,"9,5","10,6","8,6","4,4","8,9","8,3","6,0","5,4","7,0","8,0","8,6","6,6","13,1","12,3","14,6","5,3","8,4","9,8","6,9","5,3","6,6","12,2","3,7","3,7","5,5","6,4","5,6","3,2","3,5","4,7","4,6","5,2","5,4","11,0","14,9","8,6","12,1","10,9","12,4","8,3","10,1","7,3","6,4","6,3","5,1","10,0"
Customers and counterparties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"180,3","183,0","179,3",,"193,5","189,0","187,7","184,1","195,6","209,7","204,9","205,0","215,8","198,1","214,7","206,9","206,2","199,3","213,9","199,4","193,4","199,4","196,6","189,2","198,8","209,5","206,6","194,6","213,8","203,4","187,8","187,3","186,4","185,5","181,1","180,4","181,8","185,4","205,1","245,3","346,1","335,5","336,8","310,1","266,3","218,0","215,3","206,9","215,4","178,3"
"Financial instruments sold, but not yet purchased, at fair value","261,8","253,2","233,2","202,6","215,2","199,7","201,1","200,4","195,1","194,3","194,1","191,3","231,7","255,3","233,2","181,4","204,3","199,1","200,8","153,7","162,1","162,3","136,4","108,8","116,4","111,1","100,9","108,9","113,1","112,7","124,2","111,9","114,7","118,0","115,9","117,1","115,2","122,9","127,0","115,2","125,4","124,3","132,8","132,1","132,0","124,2","130,5","127,4","131,2","145,0","153,7","126,6","144,2","149,9","151,3","145,0","162,1","149,6","151,0","140,7","155,2","147,2","140,1","129,0","150,4","147,3","147,2","176,0","186,4","182,9","230,1","215,0","196,1","177,2","166,5","155,8","156,6","149,1"
Total long-term borrowings,"349,3","349,0","333,9","312,3","325,6","311,4","312,5","317,8","294,0","300,9","305,4","308,1","291,8","308,1","316,5","301,0","291,8","300,7","277,5","266,4","262,0","266,9","262,6","255,4","268,8","270,8","269,9","264,7","271,1","271,7","273,7","264,6","257,2","246,6","235,2","228,4","233,4","226,6","226,9","218,2","217,1","216,6","208,0","211,8","213,6","212,8","212,0","205,7","207,3","203,8","208,0","211,6","215,1","212,7","220,3","222,6","230,3","231,8","227,5","222,2","229,1","217,7","221,2","222,6","228,3","226,4","233,1","220,9","241,0","253,2","252,3","235,7","217,4","202,2","186,8","170,7","129,3","131,6"
Secured long-term borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,6",
Unsecured borrowings,"349,3","349,0","333,9","312,3","325,6","311,4","312,5","317,8","294,0","300,9","305,4","308,1","291,8","308,1","316,5","301,0","291,8","300,7","277,5","266,4","262,0","266,9","262,6","255,4","268,8","270,8","269,9","264,7","271,1","271,7","273,7","264,6","257,2","246,6","235,2","228,4","233,4","226,6","226,9","218,2","217,1","216,6","208,0","211,8","213,6","212,8","212,0","205,7","207,3","203,8","208,0","211,6","215,1","212,7","220,3","222,6","230,3","231,8","227,5","222,2","229,1","217,7","221,2","222,6","228,3","226,4","233,1","220,9","241,0","253,2","252,3","235,7","217,4","202,2","186,8","170,7","109,8","131,6"
"Unsecured short-term borrowings, including the current portion of unsecured long-term borrowings","72,4","69,0","71,0","69,7","75,4","76,8","78,6","75,9","70,0","70,1","64,6","61,0","51,9","57,6","58,1","47,0","49,0","61,7","58,5","52,9","48,0","44,3","37,1","48,3","52,0","49,6","45,4","40,5","41,7","44,4","47,8","46,9","45,4","43,0","35,9","39,3","42,8","42,9","46,7","42,8","41,3","46,4","44,4","44,5","48,3","45,8","46,4","44,7","39,2","41,8","41,0","44,3","47,3","45,7","48,7","49,0","54,6","56,6","53,7","47,8","43,9","39,1","40,8","37,5","38,6","35,2","44,6","52,7","64,7","71,2","72,8","71,6","66,3","60,7","54,1","47,9",,"47,2"
Unsecured long-term borrowings,"276,9","280,0","262,9","242,6","250,3","234,6","233,9","241,9","224,0","230,8","240,8","247,1","240,0","250,4","258,4","254,1","242,8","238,9","219,0","213,5","213,9","222,6","225,5","207,1","216,9","221,1","224,5","224,1","229,4","227,4","225,9","217,7","211,9","203,6","199,4","189,1","190,6","183,7","180,2","175,4","175,8","170,3","163,7","167,3","165,3","167,0","165,6","161,0","168,1","162,0","167,0","167,3","167,9","167,0","171,6","173,5","175,7","175,2","173,8","174,4","185,1","178,6","180,4","185,1","189,7","191,2","188,5","168,2","176,4","182,1","179,5","164,2","151,1","141,5","132,7","122,8","109,8","84,3"
"Total short-term borrowings, including the current portion of long-term borrowings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,7",
Secured short-term borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,9",
Unsecured short-term borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,8",
Other liabilities and accrued expenses,"25,2","22,7","19,8","24,2","23,2","21,5","20,1","23,8","20,1","18,6","17,3","21,5","20,9","20,4","17,9","24,5","27,2","23,9","22,7","22,5","23,2","23,8","18,3","21,7","19,4","18,0","16,2","17,6","16,1","15,6","12,3","16,9","13,8","12,1","11,2","14,4","13,6","12,1","13,3","18,9","17,8","17,3","13,5","16,1","14,8","14,5","12,1","16,0","29,8","26,3","38,6","42,4","40,0","35,5","32,2","31,8","31,1","29,9","35,5","30,0","31,4","30,4","29,7","33,9","35,9","31,6","24,7","23,2","29,0","28,1","30,1","38,9","43,9","40,3","33,7","31,9","31,3","13,8"
Total shareholders' equity,"124,4","124,1","124,3","122,0","121,2","119,5","118,5","116,9","117,3","116,5","117,5","117,2","119,3","117,9","115,2","109,9","106,3","101,9","97,7","95,9","92,7","90,0","92,4","90,3","92,0","90,9","90,3","90,2","86,8","86,6","83,6","82,2","86,3","86,7","86,9","86,9","87,1","86,5","86,8","86,7","87,7","87,7","85,1","82,8","82,3","81,6","79,1","78,5","77,6","78,0","77,2","75,7","73,7","72,9","71,7","70,4","70,1","72,4","72,5","77,4","75,7","73,8","72,9","70,7","65,4","62,8","63,6","64,4","45,6","44,8","42,6","42,8","39,1","38,5","36,9","35,8","33,5","28,0"
Preferred stock,"15,2","15,2","15,2","13,3","13,3","12,8","11,2","11,2","11,2","10,7","10,7","10,7","10,7","10,7","10,7","10,7","10,0","9,2","9,2","11,2","11,2","11,2","11,2","11,2","11,2","11,2","11,2","11,2","11,2","11,2","11,2","11,9","11,2","11,2","11,2","11,2","11,2","11,2","11,2","11,2","11,2","11,2","9,2","9,2","9,2","9,2","7,2","7,2","7,2","7,2","6,2","6,2","5,4","4,9","3,1","3,1","3,1","3,1","3,1","7,0","7,0","7,0","7,0","7,0","7,0","7,0","16,5","16,5","3,1","3,1","3,1","3,1","3,1","3,1","3,1","3,1","3,1","1,8"
Common shareholders' equity,"109,2","108,9","109,1","108,7","107,9","106,7","107,3","105,7","106,1","105,8","106,8","106,5","108,6","107,2","104,5","99,2","96,3","92,7","88,5","84,7","81,4","78,8","81,2","79,1","80,8","79,7","79,1","79,0","75,6","75,4","72,4","70,4","75,1","75,5","75,7","75,7","75,9","75,3","75,6","75,5","76,5","76,5","75,9","73,6","73,1","72,4","71,9","71,3","70,4","70,8","71,0","69,5","68,3","68,0","68,6","67,3","67,0","69,3","69,4","70,4","68,7","66,9","66,0","63,8","58,4","55,9","47,0","47,9","42,5","41,7","39,5","39,7","36,0","35,4","33,8","32,7","30,4","26,3"
Common stock,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Share-based awards,"5,6","5,4","5,2","5,1","5,1","5,1","4,6","5,1","5,1","4,9","4,8","5,7","5,5","5,2","5,0","4,2","3,9","3,8","3,6","3,5","3,3","3,2","3,0","3,2","3,1","2,9","2,7","2,8","2,7","2,6","2,4","2,8","3,4","3,3","3,2","3,9","4,0","4,0","3,8","4,2","4,0","4,0","3,9","3,8","3,7","3,7","3,6","3,8","3,7","3,8","3,7","3,3","4,1","4,1","3,9","5,7","5,3","5,2","4,8","7,7","7,3","6,4","5,9","6,2","5,6","5,2","4,8","9,3","8,9","8,7","8,3","9,3","6,5","6,2","5,8","6,3","3,8","3,4"
Nonvoting common stock,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,"0,0","0,0","0,0",,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Additional paid-in capital,"61,9","61,9","61,8","61,4","61,4","61,4","61,3","60,2","60,2","60,2","60,1","59,1","59,0","59,0","58,9","56,4","56,4","56,4","56,3","55,7","55,7","55,6","55,6","54,9","54,9","54,9","54,9","54,0","54,0","54,0","54,0","53,4","53,3","53,2","53,2","52,6","52,5","52,5","52,5","51,3","51,3","51,2","51,0","50,0","50,0","49,9","50,0","49,0","48,9","48,8","48,7","48,0","47,3","47,1","47,0","45,6","45,3","45,0","44,9","42,1","41,8","41,6","41,4","39,8","39,5","40,3","34,4","31,1","23,6","23,5","23,3","22,0","21,4","21,2","21,0","19,7","19,2","17,2"
Retained earnings,"162,1","159,5","157,0","153,4","150,5","148,7","146,7","143,7","142,7","141,8","141,6","139,4","139,1","137,0","134,9","131,8","128,6","124,1","119,2","112,9","109,0","106,2","106,5","106,5","105,2","103,9","102,0","100,1","98,1","95,9","93,9","91,5","94,0","92,2","90,9","89,0","87,2","85,3","84,0","83,4","83,1","82,1","81,5","79,0","77,2","75,3","73,6","72,0","70,0","68,8","67,2","65,2","62,6","61,4","60,7","58,8","58,0","58,7","57,8","57,2","55,1","53,6","53,3","50,3","45,7","42,8","40,4","39,9","42,3","41,6","39,8","38,6","35,6","33,0","30,9","27,9","24,9","19,1"
Accumulated other comprehensive loss / income,"-2,5","-2,0","-2,1","-2,7","-2,5","-2,9","-3,3","-2,9","-2,6","-3,2","-2,6","-3,0","-1,9","-2,0","-2,7","-2,1","-2,0","-1,9","-2,1","-1,4","-0,6","-0,3","1,9","-1,5","-0,5","-0,8","-0,6","0,7","-1,8","-1,0","-1,8","-1,9","-1,7","-1,6","-1,4","-1,2","-0,6","-0,6","-0,5","-0,7","-0,9","-0,9","-0,8","-0,7","-0,6","-0,6","-0,6","-0,5","-0,6","-0,6","-0,2","-0,2","-0,4","-0,5","-0,5","-0,5","-0,3","-0,3","-0,3","-0,3","-0,3","-0,3","-0,4","-0,4","-0,2","-0,4","-0,4","-0,2","-0,2","-0,1","-0,1","-0,1","0,0","0,0","0,0","0,0","0,0","0,0"
"Stock held in treasury, at cost","-117,9","-115,9","-112,8","-108,5","-106,5","-105,5","-101,9","-100,4","-99,4","-97,9","-97,2","-94,6","-93,1","-92,1","-91,6","-91,1","-90,6","-89,6","-88,6","-85,9","-85,9","-85,9","-85,9","-84,0","-81,8","-81,2","-79,9","-78,7","-77,4","-76,2","-76,2","-75,4","-73,8","-71,6","-70,2","-68,7","-67,2","-65,9","-64,2","-62,6","-61,0","-59,9","-59,7","-58,5","-57,2","-56,0","-54,7","-53,0","-51,6","-49,9","-48,3","-46,9","-45,3","-44,1","-42,6","-42,3","-41,4","-39,2","-37,7","-36,3","-35,2","-34,4","-34,4","-32,2","-32,2","-32,2","-32,2","-32,2","-32,2","-31,9","-31,7","-30,2","-27,5","-25,1","-23,9","-21,2","-17,6","-13,4"
All figures in billions of U.S. Dollar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,